Latitude (decimal degrees):	49.596
Longitude (decimal degrees):	11.008
Elevation (m):	281
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: -6 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20081006:1930,0.0,0.0,0.0,0.0,0.0,11.93,1.86,0.0
20081006:2030,0.0,0.0,0.0,0.0,0.0,11.52,1.86,0.0
20081006:2130,0.0,0.0,0.0,0.0,0.0,11.33,1.86,0.0
20081006:2230,0.0,0.0,0.0,0.0,0.0,10.82,1.93,0.0
20081006:2330,0.0,0.0,0.0,0.0,0.0,10.68,1.86,0.0
20081007:0030,0.0,0.0,0.0,0.0,0.0,10.51,1.79,0.0
20081007:0130,0.0,0.0,0.0,0.0,0.0,10.31,1.66,0.0
20081007:0230,0.0,0.0,0.0,0.0,0.0,10.12,1.52,0.0
20081007:0330,0.0,0.0,0.0,0.0,0.0,10.11,1.38,0.0
20081007:0430,0.0,0.0,0.0,0.0,0.0,9.9,1.38,0.0
20081007:0530,0.0,0.0,3.58,0.11,0.21,9.91,1.31,0.0
20081007:0630,59.29,50.23,35.62,1.32,9.61,10.09,1.1,0.0
20081007:0730,97.45,59.12,68.06,2.4,18.3,11.47,0.9,0.0
20081007:0830,229.32,180.33,94.42,4.49,25.76,12.44,1.24,0.0
20081007:0930,300.97,238.6,119.42,5.93,31.39,13.74,1.52,0.0
20081007:1030,332.12,247.08,149.76,6.86,34.52,14.66,1.45,0.0
20081007:1130,424.65,351.16,159.78,8.42,34.68,15.26,1.31,0.0
20081007:1230,324.33,251.48,138.74,6.75,31.84,15.82,1.31,0.0
20081007:1330,326.68,278.52,115.75,6.52,26.44,16.01,1.31,0.0
20081007:1430,164.36,134.04,73.9,3.64,19.14,16.3,1.31,0.0
20081007:1530,74.12,67.76,42.58,1.94,10.55,16.14,1.17,0.0
20081007:1630,0.35,0.0,6.46,0.18,1.2,15.6,1.1,0.0
20081007:1730,0.0,0.0,0.0,0.0,0.0,14.17,1.79,0.0
20081007:1830,0.0,0.0,0.0,0.0,0.0,12.68,1.86,0.0
20081007:1930,0.0,0.0,0.0,0.0,0.0,11.87,1.79,0.0
20081007:2030,0.0,0.0,0.0,0.0,0.0,11.04,1.86,0.0
20081007:2130,0.0,0.0,0.0,0.0,0.0,10.53,1.86,0.0
20081007:2230,0.0,0.0,0.0,0.0,0.0,9.97,1.86,0.0
20081007:2330,0.0,0.0,0.0,0.0,0.0,9.42,1.79,0.0
20081008:0030,0.0,0.0,0.0,0.0,0.0,9.01,1.72,0.0
20081008:0130,0.0,0.0,0.0,0.0,0.0,8.61,1.72,0.0
20081008:0230,0.0,0.0,0.0,0.0,0.0,8.14,1.79,0.0
20081008:0330,0.0,0.0,0.0,0.0,0.0,7.86,1.79,0.0
20081008:0430,0.0,0.0,0.0,0.0,0.0,7.55,1.86,0.0
20081008:0530,0.0,0.0,0.0,0.0,-0.04,7.25,1.86,0.0
20081008:0630,67.6,48.43,45.78,1.52,9.35,7.28,1.86,0.0
20081008:0730,184.44,104.57,117.91,3.97,18.01,9.57,2.48,0.0
20081008:0830,344.88,242.5,160.83,6.55,25.45,10.94,2.62,0.0
20081008:0930,448.24,333.28,197.56,8.62,31.05,12.97,2.28,0.0
20081008:1030,626.96,601.97,165.78,11.43,34.14,14.74,1.79,0.0
20081008:1130,627.99,611.31,168.68,11.78,34.29,16.49,1.52,0.0
20081008:1230,593.3,596.15,144.61,11.19,31.45,17.74,1.24,0.0
20081008:1330,442.96,408.26,139.43,8.57,26.07,18.52,0.9,0.0
20081008:1430,276.51,242.59,103.32,5.57,18.78,18.71,0.69,0.0
20081008:1530,94.84,85.87,52.25,2.34,10.2,18.57,0.9,0.0
20081008:1630,0.0,0.0,5.41,0.16,0.86,17.65,1.17,0.0
20081008:1730,0.0,0.0,0.0,0.0,0.0,16.04,1.24,0.0
20081008:1830,0.0,0.0,0.0,0.0,0.0,14.3,1.45,0.0
20081008:1930,0.0,0.0,0.0,0.0,0.0,12.61,1.72,0.0
20081008:2030,0.0,0.0,0.0,0.0,0.0,11.8,1.66,0.0
20081008:2130,0.0,0.0,0.0,0.0,0.0,11.24,1.45,0.0
20081008:2230,0.0,0.0,0.0,0.0,0.0,10.92,1.17,0.0
20081008:2330,0.0,0.0,0.0,0.0,0.0,10.04,1.31,0.0
20081009:0030,0.0,0.0,0.0,0.0,0.0,9.32,1.17,0.0
20081009:0130,0.0,0.0,0.0,0.0,0.0,8.68,1.17,0.0
20081009:0230,0.0,0.0,0.0,0.0,0.0,8.33,1.1,0.0
20081009:0330,0.0,0.0,0.0,0.0,0.0,7.94,1.03,0.0
20081009:0430,0.0,0.0,0.0,0.0,0.0,7.27,0.97,0.0
20081009:0530,0.0,0.0,0.0,0.0,-0.29,7.29,0.76,0.0
20081009:0630,39.67,9.46,50.85,1.43,9.09,7.59,0.55,0.0
20081009:0730,111.37,39.42,102.88,3.09,17.73,9.87,0.62,0.0
20081009:0830,284.17,174.81,163.12,5.92,25.14,11.06,0.83,0.0
20081009:0930,400.68,272.83,208.96,8.18,30.7,13.27,0.69,0.0
20081009:1030,454.01,315.44,238.21,9.47,33.77,15.01,0.69,0.0
20081009:1130,416.92,279.64,231.16,9.03,33.9,16.37,0.55,0.0
20081009:1230,374.79,250.0,208.91,8.2,31.07,17.23,0.69,0.0
20081009:1330,143.02,34.08,149.39,4.42,25.69,17.74,1.03,0.0
20081009:1430,86.95,23.96,94.75,2.84,18.42,17.63,1.24,0.0
20081009:1530,38.53,20.03,42.94,1.38,9.86,17.11,1.52,0.0
20081009:1630,0.0,0.0,4.19,0.12,0.53,16.24,1.59,0.0
20081009:1730,0.0,0.0,0.0,0.0,0.0,15.15,1.79,0.0
20081009:1830,0.0,0.0,0.0,0.0,0.0,14.35,1.86,0.0
20081009:1930,0.0,0.0,0.0,0.0,0.0,12.63,1.72,0.0
20081009:2030,0.0,0.0,0.0,0.0,0.0,12.21,1.45,0.0
20081009:2130,0.0,0.0,0.0,0.0,0.0,11.85,1.17,0.0
20081009:2230,0.0,0.0,0.0,0.0,0.0,11.46,1.1,0.0
20081009:2330,0.0,0.0,0.0,0.0,0.0,11.46,1.1,0.0
20081010:0030,0.0,0.0,0.0,0.0,0.0,11.42,1.1,0.0
20081010:0130,0.0,0.0,0.0,0.0,0.0,11.01,1.24,0.0
20081010:0230,0.0,0.0,0.0,0.0,0.0,10.65,1.24,0.0
20081010:0330,0.0,0.0,0.0,0.0,0.0,10.49,1.17,0.0
20081010:0430,0.0,0.0,0.0,0.0,0.0,10.53,1.03,0.0
20081010:0530,0.0,0.0,0.0,0.0,-0.54,10.06,1.1,0.0
20081010:0630,7.63,0.0,19.21,0.52,8.83,10.4,0.9,0.0
20081010:0730,48.92,12.88,58.78,1.72,17.45,11.55,0.83,0.0
20081010:0830,83.44,24.56,87.09,2.62,24.83,12.4,0.62,0.0
20081010:0930,125.89,52.29,107.83,3.5,30.36,13.15,0.21,0.0
20081010:1030,149.57,54.84,132.73,4.21,33.4,13.98,0.55,0.0
20081010:1130,238.5,110.9,179.4,6.02,33.52,14.87,0.83,0.0
20081010:1230,130.25,41.34,125.92,3.9,30.69,15.79,0.28,0.0
20081010:1330,98.06,22.76,107.71,3.19,25.32,15.98,0.48,0.0
20081010:1430,62.49,16.15,73.28,2.18,18.06,16.05,0.21,0.0
20081010:1530,24.61,11.03,33.24,1.02,9.52,16.01,0.69,0.0
20081010:1630,0.0,0.0,3.82,0.11,0.2,15.51,0.62,0.0
20081010:1730,0.0,0.0,0.0,0.0,0.0,14.76,1.03,0.0
20081010:1830,0.0,0.0,0.0,0.0,0.0,13.55,1.38,0.0
20081010:1930,0.0,0.0,0.0,0.0,0.0,13.28,1.59,0.0
20081010:2030,0.0,0.0,0.0,0.0,0.0,12.88,1.59,0.0
20081010:2130,0.0,0.0,0.0,0.0,0.0,12.71,1.59,0.0
20081010:2230,0.0,0.0,0.0,0.0,0.0,12.62,1.52,0.0
20081010:2330,0.0,0.0,0.0,0.0,0.0,12.51,1.45,0.0
20081011:0030,0.0,0.0,0.0,0.0,0.0,12.22,1.52,0.0
20081011:0130,0.0,0.0,0.0,0.0,0.0,11.88,1.59,0.0
20081011:0230,0.0,0.0,0.0,0.0,0.0,11.65,1.59,0.0
20081011:0330,0.0,0.0,0.0,0.0,0.0,11.15,1.52,0.0
20081011:0430,0.0,0.0,0.0,0.0,0.0,10.7,1.52,0.0
20081011:0530,0.0,0.0,0.0,0.0,-0.79,10.03,1.45,0.0
20081011:0630,16.79,0.0,31.91,0.87,8.56,9.82,1.24,0.0
20081011:0730,84.76,32.37,79.76,2.42,17.16,10.13,1.86,0.0
20081011:0830,153.06,58.42,129.74,4.04,24.51,10.63,1.86,0.0
20081011:0930,194.43,49.49,186.19,5.5,30.01,11.63,1.86,0.0
20081011:1030,233.34,72.6,208.24,6.33,33.03,12.69,1.79,0.0
20081011:1130,374.44,203.33,243.45,8.45,33.14,13.66,1.72,0.0
20081011:1230,412.97,302.41,193.05,8.33,30.3,14.85,1.66,0.0
20081011:1330,455.21,419.6,130.98,8.32,24.96,15.64,1.66,0.0
20081011:1430,296.78,268.79,95.72,5.53,17.71,16.23,1.66,0.0
20081011:1530,108.61,105.02,50.51,2.36,9.18,16.24,1.59,0.0
20081011:1630,0.0,0.0,0.0,0.0,-0.13,15.43,1.38,0.0
20081011:1730,0.0,0.0,0.0,0.0,0.0,13.93,1.86,0.0
20081011:1830,0.0,0.0,0.0,0.0,0.0,12.66,1.93,0.0
20081011:1930,0.0,0.0,0.0,0.0,0.0,10.64,1.86,0.0
20081011:2030,0.0,0.0,0.0,0.0,0.0,10.08,1.79,0.0
20081011:2130,0.0,0.0,0.0,0.0,0.0,9.63,1.79,0.0
20081011:2230,0.0,0.0,0.0,0.0,0.0,9.28,1.79,0.0
20081011:2330,0.0,0.0,0.0,0.0,0.0,8.91,1.79,0.0
20081012:0030,0.0,0.0,0.0,0.0,0.0,8.59,1.72,0.0
20081012:0130,0.0,0.0,0.0,0.0,0.0,8.31,1.72,0.0
20081012:0230,0.0,0.0,0.0,0.0,0.0,7.82,1.66,0.0
20081012:0330,0.0,0.0,0.0,0.0,0.0,7.23,1.66,0.0
20081012:0430,0.0,0.0,0.0,0.0,0.0,6.65,1.59,0.0
20081012:0530,0.0,0.0,0.0,0.0,-1.04,6.15,1.59,0.0
20081012:0630,24.25,5.37,35.81,1.0,8.3,5.98,1.52,0.0
20081012:0730,62.75,0.43,86.58,2.37,16.88,9.35,1.45,0.0
20081012:0830,240.25,151.96,133.64,4.94,24.2,10.75,1.52,0.0
20081012:0930,483.35,405.64,171.3,8.64,29.67,12.66,1.52,0.0
20081012:1030,549.87,495.4,174.61,10.0,32.66,15.21,1.52,0.0
20081012:1130,563.87,501.8,194.59,10.6,32.75,17.0,1.45,0.0
20081012:1230,555.04,522.59,164.93,10.29,29.93,18.4,1.66,0.0
20081012:1330,405.03,339.3,156.82,7.79,24.59,19.28,2.0,0.0
20081012:1430,191.01,114.74,127.35,4.47,17.36,19.45,2.07,0.0
20081012:1530,56.63,29.4,57.46,1.79,8.84,18.92,1.24,0.0
20081012:1630,0.0,0.0,0.0,0.0,-0.46,17.7,1.03,0.0
20081012:1730,0.0,0.0,0.0,0.0,0.0,15.7,1.45,0.0
20081012:1830,0.0,0.0,0.0,0.0,0.0,13.94,1.52,0.0
20081012:1930,0.0,0.0,0.0,0.0,0.0,12.22,1.59,0.0
20081012:2030,0.0,0.0,0.0,0.0,0.0,11.11,1.52,0.0
20081012:2130,0.0,0.0,0.0,0.0,0.0,10.08,1.72,0.0
20081012:2230,0.0,0.0,0.0,0.0,0.0,9.3,1.79,0.0
20081012:2330,0.0,0.0,0.0,0.0,0.0,8.35,1.79,0.0
20081013:0030,0.0,0.0,0.0,0.0,0.0,7.92,1.72,0.0
20081013:0130,0.0,0.0,0.0,0.0,0.0,7.62,1.79,0.0
20081013:0230,0.0,0.0,0.0,0.0,0.0,7.38,1.86,0.0
20081013:0330,0.0,0.0,0.0,0.0,0.0,7.22,1.93,0.0
20081013:0430,0.0,0.0,0.0,0.0,0.0,7.13,2.0,0.0
20081013:0530,0.0,0.0,0.0,0.0,-1.29,7.02,2.0,0.0
20081013:0630,146.49,131.84,54.19,2.02,8.04,6.97,1.93,0.0
20081013:0730,335.84,290.47,104.18,5.03,16.59,8.79,1.52,0.0
20081013:0830,508.65,476.3,131.56,8.1,23.89,12.4,1.66,0.0
20081013:0930,624.45,620.91,143.92,10.5,29.33,14.73,1.79,0.0
20081013:1030,676.98,704.76,140.35,11.82,32.3,16.87,1.86,0.0
20081013:1130,660.0,689.88,139.31,11.81,32.37,18.62,1.86,0.0
20081013:1230,589.71,605.03,130.43,10.61,29.55,19.79,2.0,0.0
20081013:1330,464.54,459.24,114.64,8.35,24.23,20.38,2.0,0.0
20081013:1430,292.68,279.62,87.27,5.36,17.01,20.51,1.86,0.0
20081013:1530,98.29,98.68,46.83,2.12,8.51,20.09,1.59,0.0
20081013:1630,0.0,0.0,0.0,0.0,-0.79,18.83,1.72,0.0
20081013:1730,0.0,0.0,0.0,0.0,0.0,17.08,2.07,0.0
20081013:1830,0.0,0.0,0.0,0.0,0.0,15.71,2.07,0.0
20081013:1930,0.0,0.0,0.0,0.0,0.0,14.16,1.59,0.0
20081013:2030,0.0,0.0,0.0,0.0,0.0,12.78,1.93,0.0
20081013:2130,0.0,0.0,0.0,0.0,0.0,12.11,1.93,0.0
20081013:2230,0.0,0.0,0.0,0.0,0.0,11.76,2.0,0.0
20081013:2330,0.0,0.0,0.0,0.0,0.0,11.32,2.0,0.0
20081014:0030,0.0,0.0,0.0,0.0,0.0,11.24,2.07,0.0
20081014:0130,0.0,0.0,0.0,0.0,0.0,11.47,2.14,0.0
20081014:0230,0.0,0.0,0.0,0.0,0.0,11.67,2.21,0.0
20081014:0330,0.0,0.0,0.0,0.0,0.0,11.97,2.14,0.0
20081014:0430,0.0,0.0,0.0,0.0,0.0,12.32,2.0,0.0
20081014:0530,0.0,0.0,0.0,0.0,-1.54,12.59,1.93,0.0
20081014:0630,46.61,37.19,34.04,1.09,7.77,12.72,2.0,0.0
20081014:0730,90.52,48.23,72.23,2.32,16.31,13.94,2.07,0.0
20081014:0830,88.81,27.11,91.44,2.74,23.58,14.87,2.62,0.0
20081014:0930,76.41,20.57,83.88,2.51,28.99,15.5,3.45,0.0
20081014:1030,204.89,103.68,146.06,5.01,31.93,15.81,3.24,0.0
20081014:1130,315.9,232.07,145.15,6.41,32.0,16.57,3.31,0.0
20081014:1230,419.21,372.83,127.37,7.63,29.17,17.09,3.45,0.0
20081014:1330,381.95,334.89,123.67,6.96,23.86,17.55,3.45,0.0
20081014:1430,175.21,150.34,71.14,3.51,16.67,17.7,3.03,0.0
20081014:1530,73.68,69.34,42.07,1.71,8.18,17.0,2.55,0.0
20081014:1630,0.0,0.0,0.0,0.0,-1.11,16.12,2.07,0.0
20081014:1730,0.0,0.0,0.0,0.0,0.0,15.16,1.59,0.0
20081014:1830,0.0,0.0,0.0,0.0,0.0,14.28,1.45,0.0
20081014:1930,0.0,0.0,0.0,0.0,0.0,13.5,1.24,0.0
20081014:2030,0.0,0.0,0.0,0.0,0.0,12.67,1.17,0.0
20081014:2130,0.0,0.0,0.0,0.0,0.0,12.17,1.17,0.0
20081014:2230,0.0,0.0,0.0,0.0,0.0,11.44,1.31,0.0
20081014:2330,0.0,0.0,0.0,0.0,0.0,11.0,1.31,0.0
20081015:0030,0.0,0.0,0.0,0.0,0.0,10.71,1.24,0.0
20081015:0130,0.0,0.0,0.0,0.0,0.0,10.26,1.31,0.0
20081015:0230,0.0,0.0,0.0,0.0,0.0,10.36,1.24,0.0
20081015:0330,0.0,0.0,0.0,0.0,0.0,10.37,1.24,0.0
20081015:0430,0.0,0.0,0.0,0.0,0.0,10.64,1.31,0.0
20081015:0530,0.0,0.0,0.0,0.0,-1.79,10.94,1.45,0.0
20081015:0630,13.88,2.8,25.54,0.71,7.51,11.5,1.52,0.0
20081015:0730,91.4,56.5,64.32,2.18,16.02,12.54,1.59,0.0
20081015:0830,138.89,72.06,102.08,3.41,23.26,13.45,1.93,0.0
20081015:0930,224.46,119.96,150.34,5.17,28.64,14.21,3.03,0.0
20081015:1030,199.93,113.44,128.97,4.67,31.57,15.02,4.07,0.0
20081015:1130,167.57,58.03,149.34,4.65,31.62,15.42,4.0,0.0
20081015:1230,124.5,33.48,125.76,3.77,28.8,15.59,3.86,0.0
20081015:1330,73.36,11.7,89.58,2.57,23.51,15.67,3.38,0.0
20081015:1430,31.44,5.0,46.54,1.33,16.32,15.72,3.03,0.0
20081015:1530,10.67,3.43,21.08,0.61,7.85,15.51,2.28,0.0
20081015:1630,0.0,0.0,0.0,0.0,-1.43,15.17,1.79,0.0
20081015:1730,0.0,0.0,0.0,0.0,0.0,14.77,1.79,0.0
20081015:1830,0.0,0.0,0.0,0.0,0.0,14.48,2.14,0.0
20081015:1930,0.0,0.0,0.0,0.0,0.0,14.32,2.14,0.0
20081015:2030,0.0,0.0,0.0,0.0,0.0,14.25,2.28,0.0
20081015:2130,0.0,0.0,0.0,0.0,0.0,14.22,2.41,0.0
20081015:2230,0.0,0.0,0.0,0.0,0.0,13.9,2.9,0.0
20081015:2330,0.0,0.0,0.0,0.0,0.0,13.71,3.38,0.0
20081016:0030,0.0,0.0,0.0,0.0,0.0,13.66,4.14,0.0
20081016:0130,0.0,0.0,0.0,0.0,0.0,13.63,4.14,0.0
20081016:0230,0.0,0.0,0.0,0.0,0.0,13.32,4.34,0.0
20081016:0330,0.0,0.0,0.0,0.0,0.0,13.2,4.14,0.0
20081016:0430,0.0,0.0,0.0,0.0,0.0,12.96,3.79,0.0
20081016:0530,0.0,0.0,0.0,0.0,-2.04,12.54,3.66,0.0
20081016:0630,14.25,7.57,21.6,0.62,7.24,12.24,3.38,0.0
20081016:0730,35.49,4.33,51.46,1.44,15.74,12.63,3.66,0.0
20081016:0830,176.51,79.12,136.2,4.3,22.95,12.77,3.38,0.0
20081016:0930,62.16,0.28,87.24,2.39,28.3,13.23,3.24,0.0
20081016:1030,43.54,0.0,65.5,1.79,31.2,12.63,3.17,0.0
20081016:1130,33.44,2.43,50.8,1.42,31.25,12.46,3.17,0.0
20081016:1230,52.62,0.0,76.09,2.08,28.43,12.23,3.24,0.0
20081016:1330,36.84,0.36,56.95,1.56,23.15,12.05,3.31,0.0
20081016:1430,28.99,5.27,42.45,1.22,15.99,11.67,3.17,0.0
20081016:1530,21.4,17.75,22.63,0.77,7.52,11.11,3.45,0.0
20081016:1630,0.0,0.0,0.0,0.0,-1.74,10.45,4.55,0.0
20081016:1730,0.0,0.0,0.0,0.0,0.0,9.64,5.52,0.0
20081016:1830,0.0,0.0,0.0,0.0,0.0,8.54,3.86,0.0
20081016:1930,0.0,0.0,0.0,0.0,0.0,8.15,3.1,0.0
20081016:2030,0.0,0.0,0.0,0.0,0.0,7.83,3.03,0.0
20081016:2130,0.0,0.0,0.0,0.0,0.0,7.15,3.45,0.0
20081016:2230,0.0,0.0,0.0,0.0,0.0,6.47,3.38,0.0
20081016:2330,0.0,0.0,0.0,0.0,0.0,6.1,3.24,0.0
20081017:0030,0.0,0.0,0.0,0.0,0.0,5.79,3.1,0.0
20081017:0130,0.0,0.0,0.0,0.0,0.0,5.5,2.83,0.0
20081017:0230,0.0,0.0,0.0,0.0,0.0,5.32,2.69,0.0
20081017:0330,0.0,0.0,0.0,0.0,0.0,5.36,2.55,0.0
20081017:0430,0.0,0.0,0.0,0.0,0.0,5.24,2.55,0.0
20081017:0530,0.0,0.0,0.0,0.0,-2.29,4.99,2.48,0.0
20081017:0630,45.31,37.18,30.5,0.96,6.98,4.96,2.48,0.0
20081017:0730,307.18,255.81,97.17,4.37,15.45,5.69,3.52,0.0
20081017:0830,301.55,206.8,138.2,5.36,22.64,6.57,3.86,0.0
20081017:0930,504.17,423.08,152.2,8.15,27.96,7.51,4.0,0.0
20081017:1030,473.67,381.46,160.21,8.14,30.84,8.64,4.21,0.0
20081017:1130,383.73,266.72,173.85,7.29,30.88,9.44,4.28,0.0
20081017:1230,304.1,232.29,119.11,5.7,28.07,9.99,4.21,0.0
20081017:1330,231.26,163.19,109.29,4.6,22.8,10.08,3.79,0.0
20081017:1430,125.7,83.77,74.88,2.81,15.65,10.1,3.66,0.0
20081017:1530,79.2,77.3,38.88,1.59,7.2,9.8,3.17,0.0
20081017:1630,0.0,0.0,0.0,0.0,-2.05,9.22,2.28,0.0
20081017:1730,0.0,0.0,0.0,0.0,0.0,8.29,1.79,0.0
20081017:1830,0.0,0.0,0.0,0.0,0.0,7.18,1.59,0.0
20081017:1930,0.0,0.0,0.0,0.0,0.0,5.98,1.52,0.0
20081017:2030,0.0,0.0,0.0,0.0,0.0,5.3,1.31,0.0
20081017:2130,0.0,0.0,0.0,0.0,0.0,4.82,1.24,0.0
20081017:2230,0.0,0.0,0.0,0.0,0.0,4.16,1.31,0.0
20081017:2330,0.0,0.0,0.0,0.0,0.0,3.47,1.31,0.0
20081018:0030,0.0,0.0,0.0,0.0,0.0,3.15,1.24,0.0
20081018:0130,0.0,0.0,0.0,0.0,0.0,2.48,1.31,0.0
20081018:0230,0.0,0.0,0.0,0.0,0.0,1.8,1.38,0.0
20081018:0330,0.0,0.0,0.0,0.0,0.0,1.31,1.38,0.0
20081018:0430,0.0,0.0,0.0,0.0,0.0,0.97,1.38,0.0
20081018:0530,0.0,0.0,0.0,0.0,-2.54,0.77,1.52,0.0
20081018:0630,38.87,20.58,37.83,1.07,6.71,0.6,1.59,0.0
20081018:0730,137.4,65.42,100.58,3.07,15.17,2.36,1.1,0.0
20081018:0830,203.33,89.16,148.74,4.64,22.33,3.74,0.97,0.0
20081018:0930,304.55,138.28,214.01,6.77,27.63,5.26,0.97,0.0
20081018:1030,587.69,475.07,221.56,10.23,30.48,7.14,1.1,0.0
20081018:1130,672.99,661.88,154.77,11.28,30.51,9.15,1.1,0.0
20081018:1230,605.68,590.95,141.3,10.18,27.7,10.45,1.03,0.0
20081018:1330,482.89,462.69,116.78,8.01,22.45,11.08,0.76,0.0
20081018:1430,297.26,273.76,87.75,4.94,15.32,11.3,0.41,0.0
20081018:1530,92.83,93.78,41.54,1.72,6.88,11.11,0.28,0.0
20081018:1630,0.0,0.0,0.0,0.0,-2.36,10.12,0.76,0.0
20081018:1730,0.0,0.0,0.0,0.0,0.0,8.11,1.1,0.0
20081018:1830,0.0,0.0,0.0,0.0,0.0,7.87,0.97,0.0
20081018:1930,0.0,0.0,0.0,0.0,0.0,7.23,0.83,0.0
20081018:2030,0.0,0.0,0.0,0.0,0.0,6.84,0.69,0.0
20081018:2130,0.0,0.0,0.0,0.0,0.0,6.07,0.9,0.0
20081018:2230,0.0,0.0,0.0,0.0,0.0,3.68,1.38,0.0
20081018:2330,0.0,0.0,0.0,0.0,0.0,2.51,1.66,0.0
20081019:0030,0.0,0.0,0.0,0.0,0.0,2.01,1.79,0.0
20081019:0130,0.0,0.0,0.0,0.0,0.0,1.7,1.79,0.0
20081019:0230,0.0,0.0,0.0,0.0,0.0,1.53,1.86,0.0
20081019:0330,0.0,0.0,0.0,0.0,0.0,1.51,1.86,0.0
20081019:0430,0.0,0.0,0.0,0.0,0.0,1.25,1.79,0.0
20081019:0530,0.0,0.0,0.0,0.0,-2.8,0.84,1.72,0.0
20081019:0630,113.14,95.05,49.19,1.5,6.45,0.83,1.66,0.0
20081019:0730,274.22,203.88,111.81,4.14,14.88,2.53,1.17,0.0
20081019:0830,429.71,350.22,147.32,6.71,22.02,6.1,1.17,0.0
20081019:0930,596.97,540.4,168.98,9.53,27.29,8.16,1.31,0.0
20081019:1030,664.07,637.84,164.78,10.91,30.13,10.05,1.52,0.0
20081019:1130,676.04,669.61,149.18,11.18,30.15,11.2,1.86,0.0
20081019:1230,599.2,573.93,145.43,9.96,27.34,11.88,1.93,0.0
20081019:1330,462.38,423.77,126.48,7.65,22.1,12.21,1.79,0.0
20081019:1430,269.0,230.33,96.13,4.58,14.99,12.24,1.66,0.0
20081019:1530,68.39,58.79,44.01,1.49,6.57,11.83,1.17,0.0
20081019:1630,0.0,0.0,0.0,0.0,-2.67,10.66,0.83,0.0
20081019:1730,0.0,0.0,0.0,0.0,0.0,10.59,0.62,0.0
20081019:1830,0.0,0.0,0.0,0.0,0.0,7.98,1.24,0.0
20081019:1930,0.0,0.0,0.0,0.0,0.0,5.43,1.93,0.0
20081019:2030,0.0,0.0,0.0,0.0,0.0,4.4,1.93,0.0
20081019:2130,0.0,0.0,0.0,0.0,0.0,3.73,2.0,0.0
20081019:2230,0.0,0.0,0.0,0.0,0.0,3.58,2.14,0.0
20081019:2330,0.0,0.0,0.0,0.0,0.0,3.61,2.21,0.0
20081020:0030,0.0,0.0,0.0,0.0,0.0,3.62,2.21,0.0
20081020:0130,0.0,0.0,0.0,0.0,0.0,3.34,2.21,0.0
20081020:0230,0.0,0.0,0.0,0.0,0.0,3.25,2.21,0.0
20081020:0330,0.0,0.0,0.0,0.0,0.0,3.05,2.14,0.0
20081020:0430,0.0,0.0,0.0,0.0,0.0,2.82,2.14,0.0
20081020:0530,0.0,0.0,0.0,0.0,-3.05,2.65,2.14,0.0
20081020:0630,142.96,130.48,48.81,1.57,6.18,2.56,2.21,0.0
20081020:0730,355.44,309.1,98.74,4.63,14.59,4.04,1.93,0.0
20081020:0830,507.93,461.87,133.12,7.43,21.71,8.22,1.66,0.0
20081020:0930,637.81,625.02,142.29,9.91,26.95,11.19,1.93,0.0
20081020:1030,684.44,695.09,142.42,11.1,29.77,13.64,2.14,0.0
20081020:1130,670.37,682.2,139.87,11.09,29.78,15.43,2.48,0.0
20081020:1230,579.34,567.14,135.33,9.62,26.99,16.54,2.9,0.0
20081020:1330,339.59,278.14,129.58,6.09,21.76,17.21,3.66,0.0
20081020:1430,194.25,162.92,81.05,3.59,14.66,17.21,2.9,0.0
20081020:1530,57.01,59.72,31.64,1.2,6.26,16.63,1.86,0.0
20081020:1630,0.0,0.0,0.0,0.0,-2.97,15.15,2.07,0.0
20081020:1730,0.0,0.0,0.0,0.0,0.0,13.5,2.34,0.0
20081020:1830,0.0,0.0,0.0,0.0,0.0,12.66,2.48,0.0
20081020:1930,0.0,0.0,0.0,0.0,0.0,12.13,2.69,0.0
20081020:2030,0.0,0.0,0.0,0.0,0.0,11.81,2.83,0.0
20081020:2130,0.0,0.0,0.0,0.0,0.0,11.56,2.83,0.0
20081020:2230,0.0,0.0,0.0,0.0,0.0,11.25,2.76,0.0
20081020:2330,0.0,0.0,0.0,0.0,0.0,10.99,2.69,0.0
20081021:0030,0.0,0.0,0.0,0.0,0.0,10.81,2.69,0.0
20081021:0130,0.0,0.0,0.0,0.0,0.0,10.83,2.69,0.0
20081021:0230,0.0,0.0,0.0,0.0,0.0,10.72,2.76,0.0
20081021:0330,0.0,0.0,0.0,0.0,0.0,10.66,2.76,0.0
20081021:0430,0.0,0.0,0.0,0.0,0.0,10.65,2.69,0.0
20081021:0530,0.0,0.0,0.0,0.0,-3.3,10.59,2.69,0.0
20081021:0630,94.1,97.02,31.44,1.12,5.92,10.57,2.69,0.0
20081021:0730,245.52,216.41,77.52,3.5,14.31,12.1,2.83,0.0
20081021:0830,384.3,323.97,130.82,6.05,21.4,13.76,2.76,0.0
20081021:0930,510.21,452.77,158.39,8.3,26.62,15.84,3.1,0.0
20081021:1030,599.93,553.55,174.98,9.99,29.42,17.57,3.59,0.0
20081021:1130,619.2,605.67,149.73,10.28,29.42,18.8,3.93,0.0
